"sample_number","data_de_recepcao","programa","matriz","subgrupo","produto","rg","area_analitica","status","objetivo_da_amostra","motivo_de_rejeicao","liberada","data_da_liberacao","latente","descartada","data_do_descarte"
59820,15/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_007","SALSICHA CONGELADA","00868/21-PE","POA","A","FISCALIZACAO",,"T",17/3/2021,"F",,
59823,15/1/2021,,"BEBIDA ALCOÓLICA","BEV_002_004","VINHO DE MESA - BRANCO SECO","00871/21-PE","BEV","A","LIBERACAO",,"T",26/1/2021,"F",,
59824,15/1/2021,,"BEBIDA ALCOÓLICA","BEV_002_004","VINHO DE MESA - TINTO SECO","00872/21-PE","BEV","A","LIBERACAO",,"T",26/1/2021,"F",,
60390,18/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01434/21-PE","MIC","R","FISCALIZACAO","R01.21","T",20/1/2021,"F",,
60395,19/1/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_016","LEITE UHT INTEGRAL","01435/21-PE","POA","A","PERICIACONTRAPROVA",,"T",19/1/2021,"F",,
60396,19/1/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_012","IOGURTE COM ADIÇÃO","01436/21-PE","POA","A","PERICIACONTRAPROVA",,"T",19/1/2021,"F",,
60401,19/1/2021,"Programa de Redução de Patógenos em Aves (IN 20/2016)","CARNE","MIC_001_002","CARNE CONGELADA DE FRANGO COM OSSO","01441/21-PE","MIC","A","FISCALIZACAO",,"T",25/1/2021,"F",,
60405,19/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01443/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
60424,20/1/2021,,"BEBIDA NÃO ALCOÓLICA","BEV_001_001","ÁGUA DE COCO:  INTEGRAL, PADRONIZADA e RECONSTITUIDA","01458/21-PE","BEV","A","FISCALIZACAO",,"T",25/1/2021,"F",,
60426,20/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE RESFRIADA DE BOVINO SEM OSSO","01459/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
60427,20/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01460/21-PE","MIC","A","FISCALIZACAO",,"T",9/2/2021,"F",,
60428,20/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01461/21-PE","MIC","A","FISCALIZACAO",,"T",9/2/2021,"F",,
60429,20/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE RESFRIADA DE BOVINO COM OSSO","01462/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60430,20/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE RESFRIADA DE BOVINO COM OSSO","01463/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60431,20/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01464/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60472,21/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_001","CARNE SALGADA DE SUÍNO SEM OSSO","01498/21-PE","MIC","A","FISCALIZACAO",,"T",29/1/2021,"F",,
60473,21/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01499/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60474,21/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01500/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60475,21/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01501/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60476,21/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01502/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60479,21/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01505/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60480,21/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","LÁCTEOS","POA_003_016","LEITE UHT INTEGRAL","01506/21-PE","POA","A","FISCALIZACAO",,"T",26/1/2021,"F",,
60481,21/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","LÁCTEOS","POA_003_016","LEITE UHT INTEGRAL","01507/21-PE","POA","C","PERICIADESEMPATE",,"F",,"T","T","02/02/2021 10:55:10"
60482,21/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_001","CARNE SALGADA DE SUÍNO SEM OSSO","01508/21-PE","POA","A","FISCALIZACAO",,"T",11/2/2021,"F",,
60483,21/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_001","CARNE SALGADA DE SUÍNO SEM OSSO","01509/21-PE","POA","C","PERICIADESEMPATE",,"F",,"T",,
60484,21/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_001","CARNE SALGADA DE BOVINO SEM OSSO","01510/21-PE","MIC","A","FISCALIZACAO",,"T",29/1/2021,"F",,
60485,21/1/2021,"PROGRAMA NACIONAL DE CONTROLE DE RESÍDUOS E CONTAMINANTES - ÁREA ANIMAL","PESCADOS","PESCADODECAPTURA","Músculo","01511/21-PE","RCI","A","FISCALIZACAO",,"T",17/6/2021,"F",,
60498,22/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","01520/21-PE","MIC","A","FISCALIZACAO",,"T",8/2/2021,"F",,
60503,22/1/2021,,"FORRAGEIRAS","NAO_APLICAVEL","Urochloa brizantha (=Brachiaria brizantha)","01525/21-PE","LASO","A","PROFICIENCIA",,"T",19/2/2021,"F",,
60504,22/1/2021,,"FORRAGEIRAS","NAO_APLICAVEL","Megathyrsus maximus (=Panicum maximum)","01526/21-PE","LASO","A","PROFICIENCIA",,"T",19/2/2021,"F",,
60505,22/1/2021,"PROGRAMA NACIONAL DE CONTROLE DE RESÍDUOS E CONTAMINANTES - ÁREA ANIMAL","PESCADOS","PESCADODECAPTURA","Músculo","01527/21-PE","RCI","A","FISCALIZACAO",,"T",17/6/2021,"F",,
60515,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01528/21-PE","FEC","A","FISCALIZACAO",,"T",23/3/2021,"F",,
60516,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01529/21-PE","FEC","A","FISCALIZACAO",,"T",23/3/2021,"F",,
60517,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01530/21-PE","FEC","A","FISCALIZACAO",,"T",23/3/2021,"F",,
60518,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01531/21-PE","FEC","A","FISCALIZACAO",,"T",23/3/2021,"F",,
60519,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01532/21-PE","FEC","A","FISCALIZACAO",,"T",23/3/2021,"F",,
60520,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01533/21-PE","FEC","A","FISCALIZACAO",,"T",23/3/2021,"F",,
60521,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01534/21-PE","FEC","A","FISCALIZACAO",,"T",10/3/2021,"F",,
60522,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01535/21-PE","FEC","A","FISCALIZACAO",,"T",5/3/2021,"F",,
60523,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01536/21-PE","FEC","A","FISCALIZACAO",,"T",24/3/2021,"F",,
60524,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01537/21-PE","FEC","A","FISCALIZACAO",,"T",26/2/2021,"F",,
60525,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01538/21-PE","FEC","A","FISCALIZACAO",,"T",24/3/2021,"F",,
60526,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01539/21-PE","FEC","A","FISCALIZACAO",,"T",26/2/2021,"F",,
60527,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01540/21-PE","FEC","A","FISCALIZACAO",,"T",10/3/2021,"F",,
60528,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01541/21-PE","FEC","A","FISCALIZACAO",,"T",24/3/2021,"F",,
60529,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01542/21-PE","FEC","A","FISCALIZACAO",,"T",24/3/2021,"F",,
60530,22/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","01543/21-PE","FEC","A","FISCALIZACAO",,"T",24/3/2021,"F",,
